stage,deployment_id,injection_type,deployment_start_timestamp,failed_deployment,detection_timestamp,recovery_timestamp,recovery_duration_seconds,rollback_used,first_healthy_timestamp,deployment_duration_seconds
"0","stage0-1772727776989","fail","2026-03-05T16:22:56.989Z","true","2026-03-05T16:23:07.140Z","2026-03-05T16:25:17.679Z","131","manual","2026-03-05T16:23:00.100Z","3"
"0","stage0-1772728109241","fail","2026-03-05T16:28:29.241Z","true","2026-03-05T16:28:39.387Z","2026-03-05T16:30:52.012Z","133","manual","2026-03-05T16:28:32.341Z","3"
"0","stage0-1772728360267","fail","2026-03-05T16:32:40.267Z","true","2026-03-05T16:32:52.398Z","2026-03-05T16:35:08.093Z","136","manual","2026-03-05T16:32:45.356Z","5"
"0","stage0-1772728529981","fail","2026-03-05T16:35:29.981Z","true","2026-03-05T16:35:46.144Z","2026-03-05T16:38:10.847Z","145","manual","2026-03-05T16:35:39.103Z","9"
"0","stage0-1772728820207","fail","2026-03-05T16:40:20.207Z","true","2026-03-05T16:40:37.398Z","2026-03-05T16:42:49.996Z","133","manual","2026-03-05T16:40:29.349Z","9"
"0","stage0-1772730756096","fail","2026-03-05T17:12:36.096Z","true","2026-03-05T17:12:49.293Z","2026-03-05T17:15:00.400Z","131","manual","2026-03-05T17:12:43.230Z","7"
